row_id,page_group,label,target,split
0,page_01,non_content,0.0,val
1,page_01,non_content,0.0,val
2,page_01,non_content,0.0,val
3,page_01,non_content,0.0,val
4,page_01,non_content,0.0,val
5,page_01,non_content,0.0,val
6,page_01,non_content,0.0,val
7,page_01,non_content,0.0,val
8,page_01,non_content,0.0,val
9,page_01,non_content,0.0,val
10,page_01,content,1.0,val
11,page_01,content,1.0,val
12,page_01,content,1.0,val
13,page_01,content,1.0,val
14,page_01,content,1.0,val
15,page_01,content,1.0,val
16,page_01,content,1.0,val
17,page_01,content,1.0,val
18,page_01,content,1.0,val
19,page_01,content,1.0,val
20,page_01,content,1.0,val
21,page_01,non_content,0.0,val
22,page_01,non_content,0.0,val
23,page_01,non_content,0.0,val
24,page_01,non_content,0.0,val
25,page_01,non_content,0.0,val
26,page_01,non_content,0.0,val
27,page_01,non_content,0.0,val
28,page_01,non_content,0.0,val
29,page_01,non_content,0.0,val
30,page_01,non_content,0.0,val
31,page_01,non_content,0.0,val
32,page_01,non_content,0.0,val
33,page_01,non_content,0.0,val
34,page_01,non_content,0.0,val
35,page_01,non_content,0.0,val
36,page_01,non_content,0.0,val
37,page_01,non_content,0.0,val
38,page_01,content,1.0,val
39,page_01,content,1.0,val
40,page_01,content,1.0,val
41,page_01,content,1.0,val
42,page_01,content,1.0,val
43,page_01,content,1.0,val
44,page_01,content,1.0,val
45,page_01,content,1.0,val
46,page_01,content,1.0,val
47,page_01,content,1.0,val
48,page_01,content,1.0,val
49,page_01,content,1.0,val
50,page_01,content,1.0,val
51,page_01,content,1.0,val
52,page_01,content,1.0,val
53,page_01,content,1.0,val
54,page_01,content,1.0,val
55,page_01,content,1.0,val
56,page_01,content,1.0,val
57,page_01,content,1.0,val
58,page_01,non_content,0.0,val
59,page_01,non_content,0.0,val
60,page_01,non_content,0.0,val
61,page_01,non_content,0.0,val
62,page_01,non_content,0.0,val
63,page_01,non_content,0.0,val
64,page_01,non_content,0.0,val
65,page_01,non_content,0.0,val
66,page_01,non_content,0.0,val
67,page_01,non_content,0.0,val
68,page_01,non_content,0.0,val
69,page_01,non_content,0.0,val
70,page_01,non_content,0.0,val
71,page_01,non_content,0.0,val
72,page_01,non_content,0.0,val
73,page_01,non_content,0.0,val
74,page_01,non_content,0.0,val
75,page_01,non_content,0.0,val
76,page_01,non_content,0.0,val
77,page_01,non_content,0.0,val
78,page_01,non_content,0.0,val
79,page_01,non_content,0.0,val
80,page_01,non_content,0.0,val
81,page_01,non_content,0.0,val
82,page_01,non_content,0.0,val
83,page_01,non_content,0.0,val
84,page_01,non_content,0.0,val
85,page_01,non_content,0.0,val
86,page_01,non_content,0.0,val
87,page_01,non_content,0.0,val
88,page_01,non_content,0.0,val
89,page_01,non_content,0.0,val
90,page_01,non_content,0.0,val
91,page_01,non_content,0.0,val
92,page_01,non_content,0.0,val
93,page_01,non_content,0.0,val
94,page_01,non_content,0.0,val
95,page_01,non_content,0.0,val
96,page_01,non_content,0.0,val
97,page_01,non_content,0.0,val
98,page_01,non_content,0.0,val
99,page_01,non_content,0.0,val
100,page_01,non_content,0.0,val
101,page_01,non_content,0.0,val
102,page_01,non_content,0.0,val
103,page_01,non_content,0.0,val
104,page_01,non_content,0.0,val
105,page_01,non_content,0.0,val
106,page_01,non_content,0.0,val
107,page_01,non_content,0.0,val
108,page_01,non_content,0.0,val
109,page_01,non_content,0.0,val
110,page_01,non_content,0.0,val
111,page_01,non_content,0.0,val
112,page_01,non_content,0.0,val
113,page_01,non_content,0.0,val
114,page_01,non_content,0.0,val
115,page_01,non_content,0.0,val
116,page_01,non_content,0.0,val
117,page_01,non_content,0.0,val
118,page_01,non_content,0.0,val
119,page_01,non_content,0.0,val
120,page_01,non_content,0.0,val
121,page_01,non_content,0.0,val
122,page_01,non_content,0.0,val
123,page_01,non_content,0.0,val
124,page_01,non_content,0.0,val
125,page_01,non_content,0.0,val
126,page_01,non_content,0.0,val
127,page_01,non_content,0.0,val
128,page_01,non_content,0.0,val
129,page_01,non_content,0.0,val
130,page_01,non_content,0.0,val
131,page_01,non_content,0.0,val
132,page_01,non_content,0.0,val
133,page_01,non_content,0.0,val
134,page_01,non_content,0.0,val
135,page_01,non_content,0.0,val
136,page_01,non_content,0.0,val
